I0,I1,I2,I3
0.800000,0.807361,0.003137,129279.164063
0.800000,0.813957,0.013870,129279.500000
0.800000,0.808650,-0.003381,129279.835938
0.800000,0.806084,0.013594,129280.171875
0.800000,0.802121,0.005579,129280.507813
0.800000,0.793916,-0.015451,129280.843750
0.800000,0.805034,0.013295,129281.179688
0.800000,0.806815,-0.002921,129281.515625
0.800000,0.785006,-0.012088,129281.851563
0.800000,0.791589,-0.005293,129282.187500
0.800000,0.799195,-0.006076,129282.523438
0.800000,0.801602,0.007398,129282.859375
0.800000,0.812108,0.010392,129283.195313
0.800000,0.805313,0.018293,129283.531250
0.800000,0.794966,-0.015151,129283.867188
0.800000,0.799222,0.001801,129284.203125
0.800000,0.794993,-0.007274,129284.539063
0.800000,0.809236,0.014492,129284.875000
0.800000,0.787107,-0.011489,129285.210938
0.800000,0.796084,0.004842,129285.546875
0.800000,0.801310,-0.001539,129285.882813
0.800000,0.823132,0.011567,129286.218750
0.800000,0.797360,-0.005616,129286.554688
0.800000,0.798145,-0.006376,129286.890625
0.800000,0.813983,0.021748,129287.226563
0.800000,0.781828,-0.020863,129287.562500
0.800000,0.814462,0.008112,129287.898438
0.800000,0.797360,-0.005616,129288.234375
0.800000,0.807108,0.006016,129288.570313
0.800000,0.806084,0.013594,129288.906250
0.800000,0.809714,0.000857,129289.242188
0.800000,0.802866,-0.006998,129289.578125
0.800000,0.802360,-0.001239,129289.914063
0.800000,0.797892,-0.003496,129290.250000
0.800000,0.792653,-0.001055,129290.585938
0.800000,0.796562,-0.008794,129290.921875
0.800000,0.784222,-0.011328,129291.257813
0.800000,0.803650,-0.007758,129291.593750
0.800000,0.800525,-0.000779,129291.929688
0.800000,0.788464,0.001686,129292.265625
0.800000,0.820034,0.026423,129292.601563
0.800000,0.806323,0.006776,129292.937500
0.800000,0.807613,0.000258,129293.273438
0.800000,0.801828,-0.003358,129293.609375
0.800000,0.805525,0.003598,129293.945313
0.800000,0.793185,0.001064,129294.281250
0.800000,0.796882,0.008020,129294.617188
0.800000,0.809236,0.014492,129294.953125
0.800000,0.797374,-0.001677,129295.289063
0.800000,0.810233,-0.000963,129295.625000
0.800000,0.796842,-0.003796,129295.960938
0.800000,0.798943,-0.003197,129296.296875
0.800000,0.785312,0.000788,129296.632813
0.800000,0.806031,-0.002161,129296.968750
0.800000,0.795538,-0.001216,129297.304688
0.800000,0.803903,-0.010637,129297.640625
0.800000,0.804488,0.007237,129297.976563
0.800000,0.805818,0.012535,129298.312500
0.800000,0.808943,0.005555,129298.648438
0.800000,0.796350,0.005901,129298.984375
0.800000,0.799501,0.006799,129299.320313
0.800000,0.790552,-0.001654,129299.656250
0.800000,0.816576,0.012650,129299.992188
0.800000,0.802879,-0.003059,129300.328125
0.800000,0.781868,-0.009047,129300.664063
0.800000,0.812627,0.008573,129301.000000
0.800000,0.793983,0.004243,129301.335938
0.800000,0.791549,-0.017109,129301.671875
0.800000,0.801868,0.008458,129302.007813
0.800000,0.813957,0.013870,129302.343750
0.800000,0.783969,-0.008449,129302.679688
0.800000,0.827361,0.020642,129303.015625
0.800000,0.784474,-0.014207,129303.351563
0.800000,0.811044,0.006154,129303.687500
0.800000,0.813132,0.002814,129304.023438
0.800000,0.800259,-0.001838,129304.359375
0.800000,0.798145,-0.006376,129304.695313
0.800000,0.790818,-0.000594,129305.031250
0.800000,0.811031,0.002216,129305.367188
0.800000,0.791841,-0.008172,129305.703125
0.800000,0.812122,0.014331,129306.039063
0.800000,0.811071,0.014032,129306.375000
0.800000,0.775006,-0.020840,129306.710938
0.800000,0.814741,0.013110,129307.046875
0.800000,0.800565,0.011037,129307.382813
0.800000,0.801296,-0.005477,129307.718750
0.800000,0.813957,0.013870,129308.054688
0.800000,0.805805,0.008596,129308.390625
0.800000,0.795259,-0.006214,129308.726563
0.800000,0.803956,0.005118,129309.062500
0.800000,0.818159,0.015068,129309.398438
0.800000,0.798172,0.001502,129309.734375
0.800000,0.813677,0.008872,129310.070313
0.800000,0.790804,-0.004533,129310.406250
0.800000,0.806310,0.002838,129310.742188
0.800000,0.809209,0.006615,129311.078125
0.800000,0.791336,-0.002414,129311.414063
0.800000,0.796296,-0.009854,129311.750000
0.800000,0.794488,-0.001516,129312.085938
0.800000,0.818943,0.014308,129312.421875
0.800000,0.804741,0.004358,129312.757813
0.800000,0.796576,-0.004855,129313.093750
0.800000,0.803956,0.005118,129313.429688
0.800000,0.816018,0.002653,129313.765625
0.800000,0.800273,0.002101,129314.101563
0.800000,0.802640,0.003759,129314.437500
0.800000,0.795525,-0.005155,129314.773438
0.800000,0.797626,-0.004556,129315.109375
0.800000,0.818943,0.014308,129315.445313
0.800000,0.797121,0.001202,129315.781250
0.800000,0.803411,-0.000940,129316.117188
0.800000,0.810526,0.007974,129316.453125
0.800000,0.798424,-0.001377,129316.789063
0.800000,0.813145,0.006753,129317.125000
0.800000,0.805818,0.012535,129317.460938
0.800000,0.787919,-0.004372,129317.796875
0.800000,0.819994,0.014607,129318.132813
0.800000,0.791602,-0.001354,129318.468750
0.800000,0.809435,-0.004142,129318.804688
0.800000,0.777652,-0.014184,129319.140625
0.800000,0.788185,-0.003312,129319.476563
0.800000,0.801828,-0.003358,129319.812500
0.800000,0.807893,0.005256,129320.148438
